,left,query,right
12,treig mi Thug mi n oidche 'Song to McNeill of Barra 's Galley 300 years old Sung by Mingulay,woman,'Mouth music a most fascinating tune I got last night from Malcolm Johnston He got it over in
13,with English texts in ink presumably in Marjory Kennedy-Fraser 's hand.Previous referenceGen 287Russia -- Folk musicPhotographs of young dark-haired,woman,in a dramatic pose2 photographsc 1910-1930EnglishPhotographs of young dark-haired woman in a dramatic pose Two identical copies of
14,hand.Previous referenceGen 287Russia -- Folk musicPhotographs of young dark-haired woman in a dramatic pose2 photographsc 1910-1930EnglishPhotographs of young dark-haired,woman,in a dramatic pose Two identical copies of photograph of a young dark-haired woman in a dramatic pose
15,photographsc 1910-1930EnglishPhotographs of young dark-haired woman in a dramatic pose Two identical copies of photograph of a young dark-haired,woman,in a dramatic pose wearing a loose-fitting archaic white robe and a flower garland in her hair b/w
16,with sincere gratitude from Alec Robertson manuscript and The Seal-woman.Different sets of proofs of vocal score of The Seal,woman,also of libretto all corrected and amended by Marjory Kennedy-Fraser one vocal score copy includes Marjory Kennedy-Fraser 's
17,Opera in two scenes anonymous synopsis manuscript six pages 'Margaret Tudor anonymous play script typed nine pages The Seal,woman,A Celtic Folk Opera by Marjory Kennedy-Fraser and Granville Bantock libretto typed 30 pages including numerous additions and
18,manuscript volume of Gaelic songs manuscripts and proofs of The songs of the Hebrides papers relating to The Seal,woman,proofs of Life of Song and newspaper cuttings Correspondence at shelfmark Gen. 519-520 includes letters from various members
19,'Deirdre 's Farewell to Scotland 'Dance to Your Shadow translation by W. Gwin manuscript and Photographs of young dark-haired,woman,in a dramatic pose Two identical copies of photograph of a young dark-haired woman in a dramatic pose
20,and Photographs of young dark-haired woman in a dramatic pose Two identical copies of photograph of a young dark-haired,woman,in a dramatic pose wearing a loose-fitting archaic white robe and a flower garland in her hair b/w
21,Avonbridge Binnie married Donald Moodie an artist on the staff of Edinburgh College of Art As a young married,woman,with two small children Kathleen and Margaret she found it difficult to keep her medical career going but
22,Recto photograph of the Institute of Animal Genetics building with the Poultry Research Centre in background photograph of a,woman,captioned 'Evelyn and dog 'Pip lying on grass Verso sepia photograph of Alan Greenwood A. Dods W. Smith
23,Both items are undated and Recto photographs appear to have been removed Verso photograph of an unidentified man and,woman,standing on the steps of the Poultry Research Centre photograph of an unidentified woman packing eggs both photographs
24,of an unidentified man and woman standing on the steps of the Poultry Research Centre photograph of an unidentified,woman,packing eggs both photographs signed 'M.L 1958 and Recto two photographs of the opening ceremony of Jull Hall
25,Leaflets books and booklets New Zealand travel guides Otago centenary Dundein Day National Council of Churches in New Zealand,women,'s Committee Busy Bees club Presbyterian Social Service Association Press cuttings Photographs Travel diary Geelong presentation American trip
26,Baillie 's appointment as Moderator Designate of the General Assembly of the Church of Scotland and Study booklets for,women,'s groups and Bound photograph programme and list of those present presented to John Baillie to commemorate his
27,undated reused as note paper A Soothing Croon from Eigg 'Who is she behind yon harp envelope from Edinburgh,women,Citizens Association stamped 21 January 1925 reused as note paper and 'Kennedy-Fraser MSS manuscripts D. 18377 E60/25 Note
28,Eriskay Lullaby'/'Ein Wiegenlied aus Eriskay 'The Silver Whistle'/'Die Silberflöte 'An Island Jacobite Song 'Sea-Sounds'/'Meeresklänge'.Leaflet for Seven Love Songs of,women,by Burns with photograph of an elderly Marjory Kennedy-Fraser seated at her grand piano.A Fife Fisher Song and
29,undated reused as note paper A Soothing Croon from Eigg 'Who is she behind yon harp envelope from Edinburgh,women,Citizens Association stamped 21 January 1925 reused as note paper.Related MaterialsSD2216 SD2219Previous referenceGen 278Breton languageThe Seal-womanFraser Marjory Kennedy-
30,Wundt Leipzig Kröner 1913 not in Marjory Kennedy-Fraser 's hand manuscript Part 2 'Art and the Citizen W.C.A Edinburgh,women,Citizens Association 8 December 1920 also W.E.A Workers Educational Association Edinburgh 4 May 1921 two different versions of
31,Gen.287.Jacobites -- SongsLecturesProgrammesPrinted ephemeraHebrides Scotland -- Folk musicGrieg Edvard 1843-1907 Norwegian composer pianist and conductor Edinburgh Musical Education SocietyEdinburgh,women,Citizens AssociationWorkers Educational AssociationTheosophical Society Scottish LodgeProofs also sheets prepared for engraving of Songs of the Hebrides vol
32,excerpts song lists etc. texts often on reverses of discarded letters and leaflets including stencilled letter from the National,women,'s Social Political Union Edinburgh 28 September 1909 signed by Patricia Waddel Marjory Kennedy-Fraser and Maud E. Fletcher
33,of Scotland Highland and Lowland including Songs of the Hebrides leaflet 22 December 1914 'Marching Song Competition for the,women,'s Auxiliary Corps stencilled letter undated Two envelopes from Boosey Co. London reused for notes.Previous referenceGen 284Hebrides Scotland
34,of Lunacy Edinburgh 9 December 1910 'To the Town Clerk Edinburgh blank form undated stencilled letter from the National,women,'s Social Political Union Edinburgh 28 September 1909 signed by Patricia Waddel Marjory Kennedy-Fraser and Maud E. Fletcher.Previous
35,28 September 1909 signed by Patricia Waddel Marjory Kennedy-Fraser and Maud E. Fletcher.Previous referenceGen 284LecturesBurns Robert 1759-1796 Scottish poet,women,'s Social and Political Union 1903 'Songs of the Hebrides Proceedings of the Musical Association 45th Sess Session
36,1903-1904 Letter from Katherine W. Grant Tarbert Loch Fyne 22 July 1908 Stencilled letter two copies from the National,women,'s Social Political Union Edinburgh 28 September 1909 signed by Patricia Waddel Marjory Kennedy-Fraser and Maud E. Fletcher
37,of songs Monday to Friday listed undated manuscript 'The chief purpose of our meeting tonight ... notes for WFL,women,'s Freedom League suffrage meeting 16 February 1909 manuscript 'The Meeting notes after November 1917 manuscript 'Greenock Philosophical
38,of songs Monday to Friday listed undated manuscript 'The chief purpose of our meeting tonight ... notes for WFL,women,'s Freedom League suffrage meeting 16 February 1909 manuscript 'The Meeting notes after November 1917 manuscript 'Greenock Philosophical
39,Wundt Leipzig Kröner 1913 not in Marjory Kennedy-Fraser 's hand manuscript Part 2 'Art and the Citizen W.C.A Edinburgh,women,Citizens Association 8 December 1920 also W.E.A Workers Educational Association Edinburgh 4 May 1921 two different versions of
40,Eriskay Lullaby'/'Ein Wiegenlied aus Eriskay 'The Silver Whistle'/'Die Silberflöte 'An Island Jacobite Song 'Sea-Sounds'/'Meeresklänge'.Leaflet for Seven Love Songs of,women,by Burns with photograph of an elderly Marjory Kennedy-Fraser seated at her grand piano.A Fife Fisher Song and
41,excerpts song lists etc. texts often on reverses of discarded letters and leaflets including stencilled letter from the National,women,'s Social Political Union Edinburgh 28 September 1909 signed by Patricia Waddel Marjory Kennedy-Fraser and Maud E. Fletcher
42,of Scotland Highland and Lowland including Songs of the Hebrides leaflet 22 December 1914 'Marching Song Competition for the,women,'s Auxiliary Corps stencilled letter undated Two envelopes from Boosey Co. London reused for notes and Marjory Kennedy-Fraser
43,1903-1904 Letter from Katherine W. Grant Tarbert Loch Fyne 22 July 1908 Stencilled letter two copies from the National,women,'s Social Political Union Edinburgh 28 September 1909 signed by Patricia Waddel Marjory Kennedy-Fraser and Maud E. Fletcher
44,of Lunacy Edinburgh 9 December 1910 'To the Town Clerk Edinburgh blank form undated stencilled letter from the National,women,'s Social Political Union Edinburgh 28 September 1909 signed by Patricia Waddel Marjory Kennedy-Fraser and Maud E. Fletcher
45,1919 A. Swan Watson Bruntsfield Edinburgh group photo Winter Session 1919-1920 A. Swan Watson Edinburgh group photo no date,women,in overalls A. Swan Watson Bruntsfield Edinburgh and group photo no date womwn in nursing wear There are
46,degree on parchment and in Latin and 3 Second Class Honours Certificates issued by Edinburgh School of Medicine for,women,in June 1916 for her performance in classes on Practical Zoology Elementary Botany and Practical Botany There are
47,'acquitted himself as a member of class between 1916 and 1921 a certificate from Edinburgh School of Medicine for,women,relevant to classes taken in 1916 a certificate of attendance at classes taken in 1919 at the Western
48,at Airdrie Academy and then from 1915 she studied medicine at Edinburgh University where she was among the first,women,allowed to study with male medical students Binnie graduated with the degrees of MB and ChB in the
49,B. Dugdale with a cockerel Verso photograph of Alan Greenwood appearing on a television screen photograph of two unidentified,women,sitting together photograph of Alan Greenwood standing in front of bookcases in his office and The undated notes
50,music sheet manuscript 'Committee for Music in War-time leaflet.One copy of photograph of three Bantock children two boys one,girl,and one black dog b/w 8.5 x 13.5 cm.One further letter from Granville Bantock to Marjory Kennedy-Fraser dated
51,music sheet manuscript 'Committee for Music in War-time leaflet.One copy of photograph of three Bantock children two boys one,girl,and one black dog b/w 8.5 x 13.5 cm.One further letter from Granville Bantock to Marjory Kennedy-Fraser dated
52,16 Budding surgeons 17 H. M. Spoor June 1905 18 The Captain 19 Starting E.U Cycling Club 20 Sweet,girl,graduates 21 Pharmaceutical botanists 22 Dr. R.J.A Berry and Dr. H.J Norman 23 Dr. G.A Gibson Dr. A.D.
53,£853Discharges for debtsRelating to lands in Kintyre and 12 stanza poem titled 'The Dorty Bairn which relates to a,girl,called Lizzie Allan and how difficult she is at the breakfast table This poem was not included in
54,a 2 ans Hackney Mare Brigham Pearl Hackney Filly Foal Hackney Stallion Limestone Champion Hackney Ganymede Hackney Mare Gallant,girl,Leaping London Policemen 's Wonderful Horsemanship First Prize Tandem Team Teuf-Teuf and Puff-Puff Hackney Grand Vulcan Ella S.
55,the Pantheon Guanajuato Mexico Indian Women from the Pueblas Near Colima Mexico A Beauty of Tehuantepec Mexico An Indian,girl,Mexico In Riding Costume Charo Charro Suits Patio of a Private Residence in the City of Mexico Type
56,Australia Tank Trapping Shearing Board Burrawang Station New South Wales Australia Open Bush Country Entre Rios Argentina The Head,girl,Phulbani Kandhamal Orissa India Girls School Phulbani Kandhamal Orissa India Hindu Girls School India Dhenkanal Baba Lou 1000
57,Richmond Royal Horse Show A Real Cropper Hunting Continues in Ireland and Derbyshire Bull-Tamer Point-To-Point Races at Oxford Thirteen-Year-Old,girl,as Trainer Aged But Agile A Guardsman 's Crash Jumping for Joy at Newbury Remarkable Racing Crash Snapshots
58,monolith on a hillside in Cuernavaca Mexico in the early 20th century and Photograph of the Hackney mare Gallant,girl,standing in a paddock held on a lead by a man in the late 19th or early 20th
59,by a man in the late 19th or early 20th century The text beneath the image states that Gallant,girl,is a chestnut roan winner of many prizes and is the property of Sir Walter Gilbey Bart and
60,and without eggs in the early 20th century and Two photographs on the left A Pretty Equestrienne shows a,girl,Miss Ashton Wilson from Chicago with her horse and on the right A Woman Hater shows a horse
61,pen Lot 6 that are identified as inferior feeders in the early 20th century and Photograph of an Indian,girl,sitting on the ground next to a building in Mexico in the early 20th century and Photograph of
62,on a small cart holding the reins of a goat that has been harnessed to it with a little,girl,standing next to the goat in a yard in the early 20th century and Photograph of a Hindu
63,as the Sladang and Photograph of a Kerry-Hill ewe in a sheep pen with four lambs and a little,girl,standing in front of the barn door in the early 20th century and Photograph of a Karadahalli herd
64,20th century It shows a man ploughing a field with cattle a woman holding a baby and a small,girl,lying in the grass with their house in the background and Photograph of the Timothy Bulkley Valley in
65,much milk was used and cheese made between 1895 and 1904 and Photographs of a policeman and a little,girl,with the same black and white terrier dog that according to the text was going to be destroyed
66,Shows a steam tractor and men on horse drawn wagons working in a field and Photograph of a Maori,girl,standing on a canoe at 'the drop scene two miles up the Wanganui River in New Zealand in
67,century In the background there is another canoe jungle and mountains The image has been 'photoshopped with the Maori,girl,in the canoe having been cut out from another image and placed in the foreground of the image
68,and Illustrations of the method of training a colt or a kicker using poles and Photograph of a little,girl,posed with a little lamb in a paddock with trees in the background entitled Mary had a Little
69,in the Thompson River district preparatory to planting in the early 20th century and Photograph of a young unidentified,girl,sitting in a chair outside in a garden holding a stick in one hand and with a doll
70,'s Fashion and Pleasure Resort Supplement of two women posing on the deck of a ship with a young,girl,waving at another ship in the distance while a man looks on in the background in the early
71,or early 20th century and Photograph of a little Indian boy sitting on the ground watching a little Indian,girl,pluck a piece of fruit from a tree in the early 20th century and Illustration of Smithfield Market
72,brook in the Findon Selling Handicap Steeplechase and unseating the jockey and the bottom image shows the horse Neil,girl,nearly falling at the second obstacle in the Juvenile Selling Hurdle race and Photograph of Allan G Tweedie
73,an overview of the site and men doing some excavation work in the background and Photograph of the Head,girl,standing in a field holding a slate with men standing in the background in Phulbani Kandhamal Orissa India
74,woman and dog Golly in the garden of Water Lane Farmhouse Portrait of dog Golly Photograph of a young,girl,in a park Photograph of a young girl in a park Photograph of a young girl in a
75,Mrs Marjory Kennedy-Fraser arranged by anonymous possibly Granville Bantock s.l undated 'Chanty Steamers Three 'Dedicated to the Boys and,girls,of Manxland words by F. B. Kermode music by M. L. Wood A.R.C.O Douglas Isle of Man undated
76,Mrs Marjory Kennedy-Fraser arranged by anonymous possibly Granville Bantock s.l undated 'Chanty Steamers Three 'Dedicated to the Boys and,girls,of Manxland words by F. B. Kermode music by M. L. Wood A.R.C.O Douglas Isle of Man undated
77,the period 1813 to 1902 press cuttings documents and theAnnual reports Miss Taylor 's orphanage for Moslem and Druse,girls,Beyrout and other miscellaneous items William Muir was born in Glasgow in 1819 He was educated at Kilmarnock
78,He informs Ledermann that the calculations are two Thurstone centroid analyses one on 441 boys the other on 430,girls,all Scottish children born on the 1st of Feb May Aug and Nov of 1926 and Thomson tells
79,from but they feature titles including Reading and Spelling differences in mean AQ for LE and RE boys and,girls,Reading Accomplishment in association with Incidence of Left-and Right-eye dominancy Distribution of IQs in association with incidence of
80,of the Canadian historian George M. Wrong 1860-1948 She was educated at Dragon School Oxford 1926-1931 St. Paul 's,girls,School Hammersmith 1931-1932 and at Channing School Highgate 1934-1938 She then studied Mathematics and Modern History at Lady
81,Miss Catherine Fraser Lee in 1922 and when it opened in October of that year it had just 60,girls,as students It was located in a building at 10 Palmerston Road just off Grange Road in Edinburgh
82,Leonard 's House off Dalkeith Road in Edinburgh but the outbreak of the Second World War then forced the,girls,and staff to be evacuated to Galashiels to Gala House In the 1950s a series of St Trinian'scomedy
83,Sim George Cole and Joyce Grenfell and with the school depicted as a quite unorthodox one and where the,girls,wreaked havoc Florence left the real St. Trinnean 's in summer 1930 and then attended the Edinburgh School
84,philosopher Note the Calton Jail in the background ibid North side of the Canongate and St Leonard 's School,girls,Entrance Forbes Street and When this photograph was taken Musselburgh was quite separate from Edinburgh with a rural
85,'The house that Jack built 'Camp-fire at Lundie Tower 'Looking for lambs Jim the yes-man and 'The boys and,girls,of Falkland' reviews of 'Something is happening poems cards and art-work by for example Neil Mochrie and Angela
86,details the total number of children in each of the above categories also recording the number of boys and,girls,This information is then repeated county by county with a sheet of handwritten notes calculating percentages and Wilson
87,Burrawang Station New South Wales Australia Open Bush Country Entre Rios Argentina The Head Girl Phulbani Kandhamal Orissa India,girls,School Phulbani Kandhamal Orissa India Hindu Girls School India Dhenkanal Baba Lou 1000 Children Assembled for B all
88,Bush Country Entre Rios Argentina The Head Girl Phulbani Kandhamal Orissa India Girls School Phulbani Kandhamal Orissa India Hindu,girls,School India Dhenkanal Baba Lou 1000 Children Assembled for B all Bhurji Bharbhunja an Aboriginal Tribe in Tributary
89,Vanillin Found in Vanilla Beans Lupines Beets Roots Oats Decayed Wood Etc Henry Wallace Editor of Wallaces Farmer Geisha,girls,Heiress to Many Millions To Wed To-Day Racing Mishap Sensational Tumble Equinine Acrobatics Yeoman Jumping Hull and East
90,of the holding pens for cattle at the Chicago Stockyards in 1800 and Photograph of a row of young,girls,standing in front of their girls school in Phulbani Kandhamal Orissa India in the early/mid 20th century and
91,at the Chicago Stockyards in 1800 and Photograph of a row of young girls standing in front of their,girls,school in Phulbani Kandhamal Orissa India in the early/mid 20th century and Photograph of the Wiltshire Horned ewe
92,of a Costwold ewe teg standing in a field in the early 20th century and Photograph of three young,girls,posing in Mr. T.W Stirling 's orchard at Kelowna British Columbia Canada in the early 20th century By
93,African Nebele cross sheep grazing in a field in the early 20th century and Photograph of a group of,girls,sitting in a courtyard during a lesson at a Hindu Girls School in India in the early 20th
94,20th century and Photograph of a group of girls sitting in a courtyard during a lesson at a Hindu,girls,School in India in the early 20th century All of the girls and their teacher are wearing saris
95,courtyard during a lesson at a Hindu Girls School in India in the early 20th century All of the,girls,and their teacher are wearing saris except for one woman who is wearing a Western style dress and
96,and sister of Estelle Sylvia Pankhurst and Adela Pankhurst She and her two sisters attended Manchester High School for,girls,and Christabel obtained a law degree from the University of Manchester She was a co-founder of the Women
97,over the valley Alpbach Dorfplatz gegen Grallspitze Alpbach Tirol Alpbach in Tirol 1000m Alpbach gegen Galtenberg Photograph of two,girls,Photograph of Arthur Koestler among a group of people Photograph of Arthur Koestler among a group of people
98,Christ The Kingdom of God A Minister 's Library Fruits of love in the early Church Martin Luther the,man,and his work Christianity as the Religion of Love Primitive Church Order The Preaching of Christian Truth Regeneration
99,to the Geological Museum at South Kensington in 1935 His published works include a collaborative piece James Geikie the,man,and the geologist 1917 as well asThe first hundred years of the Geological Survey of Great Britain 1835-1935
100,Ferretti This archive of the Ferretti Family begins in 1574 with the last will and testament of the richest,man,in Ancona at the time 'Il Perillustrissimo Conte Angelo and closes in the mid-18th century with an impressive
101,Boys and Girls of Manxland words by F. B. Kermode music by M. L. Wood A.R.C.O Douglas Isle of,man,undated with handwritten dedication to 'Mrs Kennedy-Fraser with composer 's compl 's compliments and Marjory Kennedy-Fraser Lectures Part
102,Skye Barra 'Straloch 10 June 10 'Straloch 10 June 1910 In the snow John Macnab Lochaber 'Bard Brunish Barra,man,'s Lament on his wife 's death 19 Aug. August 07 ... of Barra 's Galley Mrs Cameron
103,Cheathaich from Mrs Cameron 'Mingulay Song 'Moladh na Bhata Mrs Macdonald S. Uist 'Milking Song 'Lewis Song 'Mingulay Woman,man,lost on hills takes shelter in sheiling 'McCauley of Barra Turus an airidh 'The Rival Bardesses of Uist
104,Skye Barra 'Straloch 10 June 10 'Straloch 10 June 1910 In the snow John Macnab Lochaber 'Bard Brunish Barra,man,'s Lament on his wife 's death 19 Aug. August 07 ... of Barra 's Galley Mrs Cameron
105,Cheathaich from Mrs Cameron 'Mingulay Song 'Moladh na Bhata Mrs Macdonald S. Uist 'Milking Song 'Lewis Song 'Mingulay Woman,man,lost on hills takes shelter in sheiling 'McCauley of Barra Turus an airidh 'The Rival Bardesses of Uist
106,Boys and Girls of Manxland words by F. B. Kermode music by M. L. Wood A.R.C.O Douglas Isle of,man,undated with handwritten dedication to 'Mrs Kennedy-Fraser with composer 's compl 's compliments '.Previous referenceGen 281Fraser Marjory Kennedy-
107,four pages manuscript Envelope addressed to Marjory Kennedy-Fraser in Edinburgh postmarked 8 July 1921 forwarded to Douglas Isle of,man,'Some of the Barra words are good ... note presumably in Kenneth Macleod 's hand words of 'Dairymaid
108,four pages manuscript Envelope addressed to Marjory Kennedy-Fraser in Edinburgh postmarked 8 July 1921 forwarded to Douglas Isle of,man,'Some of the Barra words are good ... note presumably in Kenneth Macleod 's hand words of 'Dairymaid
109,British Columbia Canada Page mounted with photograph of the farm of F.C Evans in British Columbia Canada showing a,man,carrying two containers of eggs Page mounted with photograph of the farm of F.C Evans in British Columbia
110,photograph with the annotation 'Newman Award to Dr. Horton-Smith Mansion House November 1952 Verso Colour photograph of an unidentified,man,in academic gown outside a building possibly McEwan Hall Edinburgh undated and Contains Animal Breeding Research Department annual
111,signed on the back 'M.L 1954 in the foyer of the Poultry Research Centre and Recto photograph of unidentified,man,photograph of Alan Greenwood and F.A.E Crew photograph of Alan Greenwood F.A.E Crew and J.E Wilson with two
112,only 'Inbreeding in Poultry reprinted from N.A.A.S Quarterly Review No 5 Autumn 1949 'How the Scientist Helps the Practical,man,the work of the Poultry Research Centre Edinburgh reprinted from Modern Poultry Keeping 01 July 1953 'The Poultry
113,Greenwood 's widow Josephine Greenwood 1984 concerning her late husband 's biographical details and Recto Alan Greenwood and unidentified,man,possibly J.E Wilson at a dining table on the RMS 'Queen Elizabeth photograph of J.E Wilson and two
114,standing by Verso Photograph of four unidentified men outside a building Edinburgh photograph of J.E Wilson and an unidentified,man,standing outdoors next to a sign reading 'Poultry Diseases Pathology and The photograph is annotated with numbers and
115,the Journal of Endocrinology Vol 34 No 3 March 1966 'Dietary Factors Associated with Death-Rates from Certain Neoplasms in,man,by A.J Lea reprinted from The Lancet 06 August 1966 F.A.E Crew 's obituary of Reginald Crundall Punnett
116,Holyrood Palace Both items are undated and Recto photographs appear to have been removed Verso photograph of an unidentified,man,and woman standing on the steps of the Poultry Research Centre photograph of an unidentified woman packing eggs
117,shows the crowd at the opening ceremony Verso photograph of Alan Greenwood speaking at a podium with an unidentified,man,seated next to him photograph of Alan Greenwood J.E Wilson and two unidentified men photograph of a seated
118,him photograph of Alan Greenwood J.E Wilson and two unidentified men photograph of a seated group with an unidentified,man,addressing and Contains Janet Vera Alison Crockett 's matriculation and Bachelor of Arts certificates from the University of
119,Ledermann uses and the work of Kelley specifically his pentad criterion as discussed in Crossroads in the Mind of,man,and Ledermann tells Thomson about the job offer he has received from St Andrews that of assistant lecturer
120,of calculations working and explanatory notes and Thomson acknowledges receipt of Kelley 's book Crossroads in the Minds of,man,He advises Ledermann with regards to referencing Kelley 's pentad criterion in his paper while still recognising Ledermann
121,explain an article of C Spearman 's The unnamed article is referred to in Spearman 's The Abilities of,man,and regards the reversibility of proof of Spearman 's tetrad criterion and Contains a letter from Thomson dated
122,University In 1907 he married Christina Struthers His publications includeA Concise Dictionary of musical terms 1884 Chopin as a,man,and musician 1888 andProgramme music in the last four centuries 1907 and Struthers edited hisRobert Schumannfor posthumous publication
123,States and Canada Correspondants included Henry Pitney Van Dusen Paul Heath and numerous American and Canadian academics and church,men,The Moot was a London-based intellectual discussion group mainly of Christian socialist and similar intellectuals which began to
124,English text by M. N. Munro arranged SA by Granville Bantock London Curwen c 1914 'March of the Cameron,men,arranged for Soprano Alto Tenor Bass by Granville Bantock London Novello c 1913 O Can Ye Sew Cushions
125,Seomar ard 'Mrs MacInnes Eriskay A night me away out on the ... 'Barra Bard Lament on Two Young,men,'Lady Bheag Lullaby 'Waulking Song Donald Mrs McInnes 'An Erisca song 'Mo Leannan 'Dh'falbh mo Leannan fhein 'Hebridean
126,Version Miss Macneill 'Taladh Chriosta Lullaby to Christ 'Oran Luadh Mingulay Woman Lament on a boat going down the,men,drowned Archie Love song Skye Fisher 'Dandling song Father Allan 's Hugoryano Mrs O'Henly Drinking Song 'Syncopated rythm
127,Seomar ard 'Mrs MacInnes Eriskay A night me away out on the ... 'Barra Bard Lament on Two Young,men,'Lady Bheag Lullaby 'Waulking Song Donald Mrs McInnes 'An Erisca song 'Mo Leannan 'Dh'falbh mo Leannan fhein 'Hebridean
128,English text by M. N. Munro arranged SA by Granville Bantock London Curwen c 1914 'March of the Cameron,men,arranged for Soprano Alto Tenor Bass by Granville Bantock London Novello c 1913 O Can Ye Sew Cushions
129,my darling one ... note of words in unknown hand manuscript 'Notes Macneils Galley new to K. M. about,men,who lived 3 or 400 years ago manuscript 'Mechanics Institution Brechin Literary Society Scots Song Lecture-Recital 29 October
130,Version Miss Macneill 'Taladh Chriosta Lullaby to Christ 'Oran Luadh Mingulay Woman Lament on a boat going down the,men,drowned Archie Love song Skye Fisher 'Dandling song Father Allan 's Hugoryano Mrs O'Henly Drinking Song 'Syncopated rythm
131,my darling one ... note of words in unknown hand manuscript 'Notes Macneils Galley new to K. M. about,men,who lived 3 or 400 years ago manuscript 'Mechanics Institution Brechin Literary Society Scots Song Lecture-Recital 29 October
132,photograph of Alan Greenwood and F.A.E Crew photograph of Alan Greenwood F.A.E Crew and J.E Wilson with two unidentified,men,outside a building Verso Two photographs of the Institute of Animal Genetics building under snow The photographs are
133,founder of the noted flock of Brown Leghorns started in 1928 Verso photograph of Alan Greenwood and two unidentified,men,photograph of Alan Greenwood J.E Wilson and two unidentified men at a drinks party marked Evening Dispatch back
134,1928 Verso photograph of Alan Greenwood and two unidentified men photograph of Alan Greenwood J.E Wilson and two unidentified,men,at a drinks party marked Evening Dispatch back of the photograph annotated 'Adam Rooms BOCM 2/10/57 and The
135,and dog 'Pip lying on grass Verso sepia photograph of Alan Greenwood A. Dods W. Smith and two unidentified,men,in Home Guard uniform standing in front of a line of cars outside the Institute of Animal Genetics
136,his desk and The first photograph shows Alan Greenwood and Mr Glen in formal attire next to two unidentified,men,the second photograph shows Alan Greenwood addressing two unidentified men and Recto the first photograph shows Mr Conger
137,Mr Glen in formal attire next to two unidentified men the second photograph shows Alan Greenwood addressing two unidentified,men,and Recto the first photograph shows Mr Conger Professor Mossman and Professor Domm at Madison Wisconsin the second
138,possibly J.E Wilson at a dining table on the RMS 'Queen Elizabeth photograph of J.E Wilson and two unidentified,men,on a bench on a lawn photograph of a tractor in a field with J.E Wilson and two
139,on a bench on a lawn photograph of a tractor in a field with J.E Wilson and two unidentified,men,standing by Verso Photograph of four unidentified men outside a building Edinburgh photograph of J.E Wilson and an
140,a tractor in a field with J.E Wilson and two unidentified men standing by Verso Photograph of four unidentified,men,outside a building Edinburgh photograph of J.E Wilson and an unidentified man standing outdoors next to a sign
141,a podium with an unidentified man seated next to him photograph of Alan Greenwood J.E Wilson and two unidentified,men,photograph of a seated group with an unidentified man addressing and Contains Janet Vera Alison Crockett 's matriculation
