,left,query,right
89,agree with him and a discussion about George 's lessons and nerves Letter from Elsie Clarke to Mary Tiffins,girls,School Kingston-on-Thames Contains a recommendation to support Elsie Clarke 's application to be governess to the Trevelyan children
90,Mary and Bella 's health George asking how to be 'more manly although he would rather play with the,girls,than any boys Lady Caroline Trevelyan sending roller skates for the c Letter from Elsie Clarke to Mary
91,watch because of her dancing Letter from Mary to Florence Mary gave her best music lecture so far The,girls,were well but Florence caught a cold Letter from Mary to Florence The Band of Hope concert was
92,a house and hopes Elsa gets better Letter from Mary to Florence The Girl Guides camping trip with Newcastle,girls,Letter from Mary to Florence The family said goodbye to Elsie and Mary described the remainder of their
93,Mary to Florence Florence made a snowman there was a Reading Room Committee meeting and Mary lead the village,girls,Letter from Mary to Florence George Otto and Caroline Trevelyan 's wedding anniversary Letter from Mary to Florence
94,Bell Her recent journey to Newcastle and the wellbeing of the children Letter from Mary to Florence Mary the,girls,and Miss Loft went to Sweethope Lake and reference to a new maid Mary also explained a new
95,also excited to attend a W.I exhibition Letter from Mary to Florence Bell Mary discussed the weather the little,girls,went on a picnic Marjorie can nearly swim and Geoffrey can stand alone Letter from Mary to Florence
96,pride that Williams was a pupil at the school Letter from the Sixth Form of Norwich High School for,girls,to Ethel Williams Commemorative volume in appreciation of the work of Dr. Ethel Williams signed by numerous friends
97,writer and narrator and her work has been short-listed in the Crime Writers Association 's New Writing Competition Working,girls,is a crime novel published in 2001 Consists of photographs a jacket cover proof reviews and publicity material
98,worked in the school or were related to the Pybus family Newsletters for the Queen Victoria High School Old,girls,Association are included Correspondence The Towers School This letter comes from W. J. Lewis and encloses to black
99,requesting Pybus attend the Laying of the Foundation Stone and Official Naming Ceremony of the Teesside High School for,girls,on Saturday 4th October 1969 Invitation from the Teesside High School for Girls Card in envelope addressed to
100,draft of '' We were blind '' Climbing Mount Kilimanjaro Comments on typescript for 'Longman Guides to Literature Brother,man,by Roger Mais Report on 'Interviews on East African Writing by Bernth Lindfors File 3 1980 2015 Typescript
101,Q. Warner and Review of 'The Children of Sisyphus by Orlando Patterson both for 'South Article '' Put this,man,in jail '' the censorship of writers work for 'Wasafiri Review with interview of 'Orealla by Roy A.K.Heath
102,material relating to Olive Senior A. J. Seymour Includes pamphlets entitled 'Monologue 'Patterns 'Black Song I Anancy 'Song to,man,'Italic A Bethlehem Alleluia and 'Tomorrow belongs to the people File of poetry pamphlets by A. J. Seymour
103,Some of the drawings are mock-ups trying out the title There are three black pen drawings titled 'Pan to,man,'Come Down Nansi and 'Limbo Dancer in Dark Glasses Original artwork We Brits Consists of a contract notice
104,of England and Gig 2008 a memoir of a life of music and poetry and two novels Little Green,man,2001 and White Stuff 2004 Simon Armitage is currently a Senior Lecturer at Manchester Metropolitan University He became
105,features a series of lyrics in which he seeks links between the present and the Saxon past and the,man,called Knot who gave his name to the village Booth also accumulated a library of contemporary verse which
106,first successful novel Hiroshima Joe was published in 1985 The book is based on what he heard from a,man,he met as a boy in Hong Kong and contains passages set in that city during the Second
107,The Brenner The Winter Sleep of Captain Lemass Full colour jacket cover proof Jacket cover proof As a young,man,Jack Clemo lived in poverty amidst the bleak clay wastelands of Cornwall He was also stone deaf and
108,Felix Her latest book of poetry Rootling New Selected Poems Bloodaxe Books 2010 draws on three previous collections Watermelon,man,1993 Entering the Mare 1997 and Day of the Dead 2002 together with a whole collection of new
109,in 1994 Consists of letters and proofs relating to the published poetry works of Katie Donovan Katie Donovan Watermelon,man,Consists of a printout a selection of poems and a list of where the publications were originally printed
110,Information sheet Nick Drake was born in 1961 He lives and works in London His first book-length collection The,man,in the White Suit Bloodaxe Books 1999 was a Poetry Book Society Recommendation won the Forward Prize for
111,Books 2012 Consists of letters and proofs relating to the published poetry works of Nick Drake Nick Drake The,man,in the White Suit Consists of a printout of a selection of poems with the title `` A
112,Proof Consists of a Bloodaxe Books information sheet introducing the author and the publication Information sheet Cusan Dyn Dall/Blind,man,'s Kiss Consists of a clean copy proof Proof Consists of proof folded into four sections Running Sheets
113,of poetry including Familiar Strangers New Selected Poems 1960-2004 2004 which includes the whole of his book-length poem The,man,Made of Rain 1998 He is best-known for two controversial poetry books Cromwell published in Ireland in 1983
114,an Eric Gregory Award in 2007 and the Ireland Chair of Poetry Bursary Award in 2010 Her pamphlet This,man,'s Town was published by tall-lighthouse in 2007 Her first book-length collection The Squirrels Are Dead was published
115,Neil Astley regarding the collection Printout Consists of a printout of the collection which has been titled `` Orra,man,'' this was replaced with `` Into You '' a label has been stuck over both of these
116,audio CD of her reading her poems Her plays include Face Licker Come Home 1991 God of the Hatch,man,1992 Colie Lally Doesn ’ t Live in a Bucket 1993 Down All the Roundabouts 1999 The Plastic
117,born in Ilford in 1966 After university and a time living in France she moved to the Isle of,man,where she had two children and became a snooker champion an ex-wife a fallen star and a magazine
118,poetry works of Matthew Hollis Matthew Hollis Ground Water Consists of a printout of the collection titled `` One,man,went to mow '' a cover letter is attached Printout -submission Consists of a printout of the collection
119,of poetry including Familiar Strangers New Selected Poems 1960-2004 2004 which includes the whole of his book-length poem The,man,Made of Rain 1998 He is best-known for two controversial poetry books Cromwell published in Ireland in 1983
120,sheet Sophocles Antigone Consists of a Bloodaxe Books information sheet introducing the author and the publication Information sheet The,man,Made of Rain Consists of a printout submitted to Bloodaxe with a handwritten dedication Printout Full colour jacket
121,Klockrike the description of the human side is devoted entirely to the relationship between the settled and the itinerant,man,within ourselves A world of journeying in a still wider sense emerges in Aniara an epic work about
122,'s Wreck Consists of a photocopied typescript with handwritten pagination Louis Simpson The other Jamaican Memoirs of a Postcolonial,man,Matt Simpson was born in Bootle His books include An Elegy for the Galosherman New Selected Poems Bloodaxe
123,three daughters alone all the time writing what she called her ‘ love poems all written to a dead,man,’ who forced her to ‘ reside in limbo ’ with her daughters For 20 years she travelled
124,country books biography and criticism Overwork caused sometimes suicidal depression and creative despair This self-styled ‘ hurried harried prose,man,’ could not find a ‘ form that suits me ’ Yet books such as The South Country
125,Soul Full colour jacket cover proof This is attached to item BXB/1/1/BRP/1/6 Jacket cover proof Fleur Adcock writes about,men,and women childhood identity roots and rootlessness memory and loss animals and dreams as well as our interactions
126,of letters and proofs relating to the published poetry works of Fleur Adcock Fleur Adcock Fleur Adcock writes about,men,and women childhood identity roots and rootlessness memory and loss animals and dreams as well as our interactions
127,Newcastle University Consists of correspondence regarding Fleur Adcock 's publications up to 2010 Editorial Correspondence Fleur Adcock writes about,men,and women childhood identity roots and rootlessness memory and loss animals and dreams as well as our interactions
128,regarding the publication including contract and binding Also included is the setting copy typescript Correspondence Fleur Adcock writes about,men,and women childhood identity roots and rootlessness memory and loss animals and dreams as well as our interactions
129,biography bibliography and a print out of several poems used for publication purposes Information sheet Fleur Adcock writes about,men,and women childhood identity roots and rootlessness memory and loss animals and dreams as well as our interactions
130,grandchildren and her late mother Dragon Talk Full colour jacket cover proof Jacket cover proof Fleur Adcock writes about,men,and women childhood identity roots and rootlessness memory and loss animals and dreams as well as our interactions
131,Society of Authors and won first prize in the Cheltenham Festival poetry competition Her libretto for the opera Beyond,men,and Dreams composer Bennett Hogg was performed by the Royal Opera House Garden Venture in 1991 In 1993
132,Society of Authors and won first prize in the Cheltenham Festival poetry competition Her libretto for the opera Beyond,men,and Dreams composer Bennett Hogg was performed by the Royal Opera House Garden Venture in 1991 In 1993
133,tutor She has published six collections of poetry including two with Bloodaxe Books Romance 1994 and In Praise of,men,and other people 2003 She has had work published in several Forward/Faber anthologies Russian Vogue and a range
134,Sheets Consists of a Bloodaxe Books information sheet introducing the author and the publication Information sheet In Praise of,men,and Other People Consists of printouts of poems that have appeared in pamphlets this is explained in a
135,collection titled `` Above Rubies '' Printout Consists of a printout of a collection titled `` In Praise of,men,Other People '' Printout Consists of a proof which has been annotated by Ann Sansom there is also
136,Reclining In 1989 Harrap published Inside Time Ken Smith ’ s book about imprisonment about Wormwood Scrubs and the,men,he met there This was published in paperback by Mandarin in 1990 Ken Smith was working in Berlin
137,books The Green Wall winner of the Yale Series of Younger Poets award 1957 and Saint Judas 1959 include,men,and women who have lost love or have been marginalised from society for such reasons as poverty and
138,Reclining In 1989 Harrap published Inside Time Ken Smith ’ s book about imprisonment about Wormwood Scrubs and the,men,he met there This was published in paperback by Mandarin in 1990 Ken Smith was working in Berlin
139,graffiti on the door and the windows smashed The black and white photographs depict children playing and two elderly,men,pointing and greeting each other in the street Photograph Consists of a colour photograph of two young girls
140,in Hulme Photograph Consists of two large black and white photographs taken in Hulme one is of two older,men,greeting each other the other shows children playing Photograph Consists of several colour photographs of the Hulme area
141,Publicity Round-Up 45 Publicity round-up featuring National Poetry Day more poetry on television more coverage for women poets and,men,poets posing in posh clothes as well as reviews and news on the latest Bloodaxe Books Publicity Round-Up
142,in the arts CHE Tape/slide programme concerning 'Homosexuals in Society Collection of newspaper cuttings concerning the treatment of homosexual,men,in society Reports and Leaflets concerning verbal attacks on gay people Various publications concerning gay people in the
143,homosexual experiences in relation to medicine and sexual health Collection of leaflets regarding sexual health in gay and bisexual,men,Leaflets concerning sexual health for gay men mainly 1990s Leaflets concerning Sexual Health for gay men mainly 1970s
144,sexual health Collection of leaflets regarding sexual health in gay and bisexual men Leaflets concerning sexual health for gay,men,mainly 1990s Leaflets concerning Sexual Health for gay men mainly 1970s 1980s Directory for Gay Sexual Health Services
145,gay and bisexual men Leaflets concerning sexual health for gay men mainly 1990s Leaflets concerning Sexual Health for gay,men,mainly 1970s 1980s Directory for Gay Sexual Health Services Includes CHE Middlesbrough Newsletter Number 6 from 1975 Collection
146,Services Includes CHE Middlesbrough Newsletter Number 6 from 1975 Collection of leaflets and guides for safe sex for gay,men,focussing on HIV/AIDS and using condoms An extensive collection of research files and campaign material concerning sex education
147,and Public Sex Incidents Press Cuttings Includes focus on individual homosexual arrests and the age of consent for homosexual,men,Gay Issues in Legal Press and Policing of Homosexuality Press Cuttings Sex Video Legislation Press cuttings and General
148,and 'Inside Out Magazines single copies 'The National Gay Newspaper featuring coverage of investigation into 2 murders of gay,men,Single copy Jesmond News 'Danger Rights at Work Newsletter with Collected Reportings of Jesmond Tories Newsletter Contains Issue
149,Issue FF accompanied by FF Productions satirising of Barbara Carte single copies-Blanche- Magazine Support for Lesbian Women and Gay,men,Series of Leaflets Contains Homophonies Magazine Number 19 from Strasbourg two copies of the Melbourne Star Observer Issues
150,`` A Fourth Channel '' April 1977 Ulster Television Ltd Summry of the paper 'Television Violence and the Adolescent,boy,6 September 1977 William Belson North East London Plytechnic Report of the Seminar 'Television and the Classroom 1978
151,was published in 1985 The book is based on what he heard from a man he met as a,boy,in Hong Kong and contains passages set in that city during the Second World War Booth was a
152,"novel The Church of Dead Girls published by Viking has sold over 120,000 copies in Britain His last novel",boy,in the Water was published by Viking in 1999 Consists of letters and proofs relating to the published
153,Turkeys 1994 Funky Chickens 1996 and Wicked World 2000 all from Puffin/Penguin his novels for teenagers Face 1999 Refugee,boy,2001 Gangsta Rap 2004 and Teacher ’ s Dead 2007 all from Bloomsbury The Bloomsbury Book of Love
154,Turkeys 1994 Funky Chickens 1996 and Wicked World 2000 all from Puffin/Penguin his novels for teenagers Face 1999 Refugee,boy,2001 Gangsta Rap 2004 and Teacher ’ s Dead 2007 all from Bloomsbury The Bloomsbury Book of Love
155,photographs of varying sizes titled `` Manchester '' The photographs depict two women sitting on a doorstep a young,boy,in front of a chalk drawing women and children by a brick wall children playing in a collapsed
156,were mostly published in the early to mid-Twentieth Century It includes such titles as Timothy 's quest 1900 The,boy,'s adventure book 1935 The Flying Five and other stories of adventure and school life 1936 and Girl
157,at Manley Hall Letter from Anna M Philips to Caroline Trevelyan Note from Charles stating he is a 'good,boy,Note to Caroline Trevelyan from Charles Pressed flowers with a note in Charles hand addressing them to 'mama
